,0,1
10,http://www.nytimes.com/video/us/politics/100000003928199/clinton-defends-obama-health-law.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Patient Protection and Affordable Care Act (2010)', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'N', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'United States Politics and Government', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Clinton, Hillary Rodham', u'name': u'persons'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Baton Rouge (La)', u'name': u'glocations'}]"
11,http://www.nytimes.com/aponline/2015/09/21/us/ap-financial-markets-box.html,[]
12,http://www.nytimes.com/aponline/2015/09/21/us/politics/ap-us-gop-2016-carson-muslims.html,[]
13,http://www.nytimes.com/aponline/2015/09/21/us/politics/ap-us-dem-2016-clinton.html,[]
14,http://www.nytimes.com/aponline/2015/09/21/us/politics/ap-us-dem-2016-sanders-style.html,[]
15,http://www.nytimes.com/politics/first-draft/2015/09/21/new-poll-offers-hillary-clinton-some-comforting-news/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Biden, Joseph R Jr'}, {u'rank': u'2', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'3', u'name': u'persons', u'value': u'Sanders, Bernard'}, {u'rank': u'1', u'name': u'organizations', u'value': u'CNN'}, {u'rank': u'2', u'name': u'organizations', u'value': u'Democratic Party'}, {u'rank': u'1', u'name': u'subject', u'value': u'Polls and Public Opinion'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
16,http://www.nytimes.com/politics/first-draft/2015/09/21/hillary-clinton-in-louisiana-gets-a-health-care-challenge-from-bobby-jindal/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'2', u'name': u'persons', u'value': u'Jindal, Bobby'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'glocations', u'value': u'Louisiana'}, {u'rank': u'1', u'name': u'subject', u'value': u'Health Insurance and Managed Care'}, {u'rank': u'2', u'name': u'subject', u'value': u'Patient Protection and Affordable Care Act (2010)'}, {u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
17,http://www.nytimes.com/politics/first-draft/2015/09/21/republicans-comments-put-them-on-other-side-of-popes-visiting-message/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Francis'}, {u'rank': u'2', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'organizations', u'value': u'Democratic Party'}, {u'rank': u'2', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
18,http://www.nytimes.com/politics/first-draft/2015/09/21/hillary-clinton-to-present-health-care-plan/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'1', u'name': u'subject', u'value': u'Health Insurance and Managed Care'}, {u'rank': u'2', u'name': u'subject', u'value': u'Patient Protection and Affordable Care Act (2010)'}, {u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
19,http://www.nytimes.com/politics/first-draft/2015/09/21/hillary-clinton-rates-unfavorably-in-new-york-state-poll/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'1', u'name': u'glocations', u'value': u'New York State'}, {u'rank': u'1', u'name': u'subject', u'value': u'Polls and Public Opinion'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
