,date,longitude,latitude,Sentiment,Unnamed: 0,Unnamed: 0.1,Recommendations,EditorPick,userID,Comment_b
60,2015-07-09-01,-74.5089,40.314,1,20749.0,24820.0,63.0,0.0,55031105.0,1.0
61,2015-07-09-01,-71.5314,42.2373,1,21843.0,24880.0,21.0,0.0,56683561.0,1.0
62,2015-07-10-01,-119.7462,36.17,1,19059.0,24669.0,2.0,0.0,72296649.0,1.0
63,2015-07-10-01,-97.6475,31.106,0,17648.0,24658.0,10.0,0.0,25022632.0,1.0
64,2015-07-10-01,-97.6475,31.106,0,17647.0,24656.0,6.0,0.0,16644572.0,1.0
65,2015-07-10-01,-92.302,38.4623,0,23777.0,24772.0,0.0,0.0,46414580.0,1.0
66,2015-07-10-01,-83.6487,32.9866,0,22189.0,24682.0,39.0,0.0,34240393.0,1.0
67,2015-07-10-01,-82.7755,40.3736,1,24384.0,24711.0,7.0,0.0,55360835.0,1.0
68,2015-07-10-01,-78.2057,37.768,0,13221.0,24692.0,22.0,0.0,10369639.0,1.0
69,2015-07-10-01,-74.9384,42.1497,1,16656.0,24765.0,2.0,0.0,30658283.0,1.0
70,2015-07-10-01,-71.5314,42.2373,0,21841.0,24746.0,121.0,0.0,2073520.0,1.0
71,2015-07-10-01,-71.5314,42.2373,1,21842.0,24767.0,0.0,0.0,1120555.0,1.0
72,2015-07-11-01,-74.9384,42.1497,1,16648.0,24647.0,2.0,0.0,26671491.0,1.0
73,2015-07-13-01,-122.1269,44.5672,1,21236.0,24454.0,3.0,0.0,54179404.0,1.0
74,2015-07-13-01,-111.8535,40.1135,0,24713.0,24508.0,0.0,0.0,46824470.0,1.0
75,2015-07-13-01,-89.0022,40.3363,1,19435.0,24482.0,0.0,0.0,68642836.0,1.0
76,2015-07-13-01,-83.6487,32.9866,0,22187.0,24504.0,1.0,0.0,60223243.0,1.0
77,2015-07-13-01,-77.264,40.5773,0,13721.0,24494.0,3.0,0.0,68752205.0,1.0
78,2015-07-13-01,-77.264,40.5773,1,13720.0,24456.0,10.0,0.0,17718724.0,1.0
79,2015-07-13-01,-76.7902,39.0724,0,19905.0,24506.0,1.0,0.0,65649203.0,1.0
80,2015-07-13-01,-74.9384,42.1497,1,16628.0,24479.0,5.0,0.0,41188.0,1.0
81,2015-07-13-01,-74.9384,42.1497,1,16624.0,24461.0,41.0,0.0,12443097.0,1.0
82,2015-07-13-01,-74.5089,40.314,1,20744.0,24610.0,7.0,0.0,62569741.0,1.0
83,2015-07-13-01,-71.5314,42.2373,0,21832.0,24493.0,4.0,0.0,48751578.0,1.0
84,2015-07-13-01,-71.5314,42.2373,1,21834.0,24511.0,2.0,0.0,64266171.0,1.0
85,2015-07-13-01,-71.5314,42.2373,1,21833.0,24503.0,2.0,0.0,1487615.0,1.0
86,2015-07-14-01,-121.5708,47.3917,1,23070.0,24246.0,3.0,0.0,67489859.0,1.0
87,2015-07-14-01,-119.7462,36.17,0,19041.0,24228.0,3.0,0.0,3578768.0,1.0
88,2015-07-14-01,-119.7462,36.17,1,19036.6666667,24182.6666667,4.66666666667,0.0,42468924.0,1.0
89,2015-07-14-01,-119.7462,36.17,1,19039.5,24211.0,8.0,0.0,60235201.5,1.0
