,date,longitude,latitude,Sentiment,Comment_b
0,2015-06-30-01,-119.7462,36.17,1,True
1,2015-06-30-01,-111.3877,33.7712,1,True
2,2015-06-30-01,-77.0262,38.8964,0,True
3,2015-06-30-01,-74.9384,42.1497,0,True
4,2015-06-30-01,-74.9384,42.1497,1,True
5,2015-06-30-01,-74.5089,40.314,1,True
6,2015-06-30-01,-74.5089,40.314,1,True
7,2015-07-01-01,-119.7462,36.17,0,True
8,2015-07-01-01,-97.6475,31.105999999999998,1,True
9,2015-07-01-01,-81.717,27.8333,1,True
10,2015-07-01-01,-79.8431,35.6411,1,True
11,2015-07-01-01,-77.264,40.5773,1,True
12,2015-07-01-01,-72.7093,44.0407,0,True
13,2015-07-02-01,-119.7462,36.17,0,True
14,2015-07-02-01,-119.7462,36.17,1,True
15,2015-07-02-01,-119.7462,36.17,1,True
16,2015-07-02-01,-119.7462,36.17,1,True
17,2015-07-02-01,-110.3261,46.9048,0,True
18,2015-07-02-01,-105.3272,39.0646,1,True
19,2015-07-02-01,-97.6475,31.105999999999998,0,True
20,2015-07-02-01,-97.6475,31.105999999999998,1,True
21,2015-07-02-01,-89.0022,40.3363,0,True
22,2015-07-02-01,-86.2604,39.8647,1,True
23,2015-07-02-01,-78.2057,37.768,0,True
24,2015-07-02-01,-77.264,40.5773,0,True
25,2015-07-02-01,-74.9384,42.1497,0,True
26,2015-07-02-01,-74.5089,40.314,1,True
27,2015-07-03-01,-74.5089,40.314,0,True
28,2015-07-05-01,-72.7093,44.0407,1,True
29,2015-07-08-01,-122.1269,44.5672,1,True
30,2015-07-08-01,-119.7462,36.17,0,True
31,2015-07-08-01,-119.7462,36.17,1,True
32,2015-07-08-01,-119.7462,36.17,1,True
33,2015-07-08-01,-111.3877,33.7712,0,True
34,2015-07-08-01,-106.2371,34.8375,0,True
35,2015-07-08-01,-105.3272,39.0646,0,True
36,2015-07-08-01,-105.3272,39.0646,0,True
37,2015-07-08-01,-105.3272,39.0646,0,True
38,2015-07-08-01,-96.9247,35.5376,1,True
39,2015-07-08-01,-93.9196,45.7326,1,True
40,2015-07-08-01,-89.6812,32.7673,0,True
41,2015-07-08-01,-89.6812,32.7673,0,True
42,2015-07-08-01,-86.8073,32.799,1,True
43,2015-07-08-01,-84.5603,43.3504,1,True
44,2015-07-08-01,-83.6487,32.9866,1,True
45,2015-07-08-01,-81.717,27.8333,0,True
46,2015-07-08-01,-80.9066,33.8191,1,True
47,2015-07-08-01,-78.2057,37.768,1,True
48,2015-07-08-01,-77.264,40.5773,0,True
49,2015-07-08-01,-77.264,40.5773,1,True
50,2015-07-08-01,-77.0262,38.8964,0,True
51,2015-07-08-01,-74.9384,42.1497,0,True
52,2015-07-08-01,-74.9384,42.1497,0,True
53,2015-07-08-01,-74.9384,42.1497,1,True
54,2015-07-08-01,-74.9384,42.1497,1,True
55,2015-07-08-01,-74.5089,40.314,1,True
56,2015-07-08-01,-74.5089,40.314,1,True
57,2015-07-08-01,-72.7622,41.5834,1,True
58,2015-07-08-01,-71.5653,43.4108,1,True
59,2015-07-08-01,-71.5314,42.2373,0,True
60,2015-07-08-01,-71.5314,42.2373,1,True
61,2015-07-08-01,-69.3977,44.6074,1,True
62,2015-07-09-01,-157.5311,21.1098,1,True
63,2015-07-09-01,-119.7462,36.17,0,True
64,2015-07-09-01,-86.2604,39.8647,1,True
65,2015-07-09-01,-81.717,27.8333,0,True
66,2015-07-09-01,-78.2057,37.768,1,True
67,2015-07-09-01,-76.7902,39.0724,1,True
68,2015-07-09-01,-74.9384,42.1497,1,True
69,2015-07-09-01,-74.5089,40.314,1,True
70,2015-07-09-01,-71.5653,43.4108,1,True
71,2015-07-09-01,-71.5314,42.2373,1,True
72,2015-07-10-01,-119.7462,36.17,0,True
73,2015-07-10-01,-119.7462,36.17,0,True
74,2015-07-10-01,-119.7462,36.17,0,True
75,2015-07-10-01,-119.7462,36.17,1,True
76,2015-07-10-01,-119.7462,36.17,1,True
77,2015-07-10-01,-119.7462,36.17,1,True
78,2015-07-10-01,-105.3272,39.0646,0,True
79,2015-07-10-01,-97.6475,31.105999999999998,0,True
80,2015-07-10-01,-97.6475,31.105999999999998,0,True
81,2015-07-10-01,-97.6475,31.105999999999998,1,True
82,2015-07-10-01,-97.6475,31.105999999999998,1,True
83,2015-07-10-01,-97.6475,31.105999999999998,1,True
84,2015-07-10-01,-89.6385,44.2563,0,True
85,2015-07-10-01,-86.7489,35.7449,1,True
86,2015-07-10-01,-83.6487,32.9866,0,True
87,2015-07-10-01,-82.7755,40.3736,1,True
88,2015-07-10-01,-81.717,27.8333,0,True
89,2015-07-10-01,-81.717,27.8333,1,True
90,2015-07-10-01,-81.717,27.8333,1,True
91,2015-07-10-01,-79.8431,35.6411,0,True
92,2015-07-10-01,-79.8431,35.6411,1,True
93,2015-07-10-01,-79.8431,35.6411,1,True
94,2015-07-10-01,-78.2057,37.768,0,True
95,2015-07-10-01,-78.2057,37.768,0,True
96,2015-07-10-01,-78.2057,37.768,0,True
97,2015-07-10-01,-78.2057,37.768,1,True
98,2015-07-10-01,-76.7902,39.0724,1,True
99,2015-07-10-01,-74.9384,42.1497,0,True
100,2015-07-10-01,-74.9384,42.1497,0,True
101,2015-07-10-01,-74.9384,42.1497,1,True
102,2015-07-10-01,-74.9384,42.1497,1,True
103,2015-07-10-01,-74.5089,40.314,1,True
104,2015-07-10-01,-74.5089,40.314,1,True
105,2015-07-10-01,-72.7622,41.5834,1,True
106,2015-07-10-01,-71.5314,42.2373,0,True
107,2015-07-10-01,-71.5314,42.2373,1,True
108,2015-07-10-01,-71.5314,42.2373,1,True
109,2015-07-10-01,-71.5314,42.2373,1,True
110,2015-07-10-01,-69.3977,44.6074,1,True
111,2015-07-11-01,-122.1269,44.5672,1,True
112,2015-07-11-01,-121.5708,47.3917,1,True
113,2015-07-11-01,-119.7462,36.17,1,True
114,2015-07-11-01,-119.7462,36.17,1,True
115,2015-07-11-01,-111.3877,33.7712,0,True
116,2015-07-11-01,-97.6475,31.105999999999998,1,True
117,2015-07-11-01,-97.6475,31.105999999999998,1,True
118,2015-07-11-01,-93.9196,45.7326,1,True
119,2015-07-11-01,-83.6487,32.9866,1,True
120,2015-07-11-01,-81.717,27.8333,0,True
121,2015-07-11-01,-79.8431,35.6411,0,True
122,2015-07-11-01,-78.2057,37.768,1,True
123,2015-07-11-01,-78.2057,37.768,1,True
124,2015-07-11-01,-78.2057,37.768,1,True
125,2015-07-11-01,-77.264,40.5773,0,True
126,2015-07-11-01,-77.264,40.5773,0,True
127,2015-07-11-01,-76.7902,39.0724,1,True
128,2015-07-11-01,-74.9384,42.1497,0,True
129,2015-07-11-01,-74.9384,42.1497,0,True
130,2015-07-11-01,-74.9384,42.1497,1,True
131,2015-07-11-01,-74.9384,42.1497,1,True
132,2015-07-11-01,-74.9384,42.1497,1,True
133,2015-07-11-01,-74.9384,42.1497,1,True
134,2015-07-11-01,-74.5089,40.314,1,True
135,2015-07-12-01,-111.8535,40.1135,1,True
136,2015-07-12-01,-105.3272,39.0646,0,True
137,2015-07-12-01,-105.3272,39.0646,1,True
138,2015-07-12-01,-78.2057,37.768,0,True
139,2015-07-12-01,-74.9384,42.1497,1,True
140,2015-07-12-01,-74.5089,40.314,1,True
141,2015-07-12-01,-74.5089,40.314,1,True
142,2015-07-13-01,-121.5708,47.3917,1,True
143,2015-07-13-01,-121.5708,47.3917,1,True
144,2015-07-13-01,-121.5708,47.3917,1,True
145,2015-07-13-01,-119.7462,36.17,0,True
146,2015-07-13-01,-119.7462,36.17,0,True
147,2015-07-13-01,-119.7462,36.17,0,True
148,2015-07-13-01,-119.7462,36.17,0,True
149,2015-07-13-01,-119.7462,36.17,0,True
150,2015-07-13-01,-119.7462,36.17,1,True
151,2015-07-13-01,-119.7462,36.17,1,True
152,2015-07-13-01,-119.7462,36.17,1,True
153,2015-07-13-01,-117.1219,38.4199,0,True
154,2015-07-13-01,-117.1219,38.4199,1,True
155,2015-07-13-01,-111.3877,33.7712,0,True
156,2015-07-13-01,-110.3261,46.9048,1,True
157,2015-07-13-01,-107.2085,42.7475,0,True
158,2015-07-13-01,-105.3272,39.0646,1,True
159,2015-07-13-01,-105.3272,39.0646,1,True
160,2015-07-13-01,-97.6475,31.105999999999998,1,True
161,2015-07-13-01,-97.6475,31.105999999999998,1,True
162,2015-07-13-01,-97.6475,31.105999999999998,1,True
163,2015-07-13-01,-96.9247,35.5376,1,True
164,2015-07-13-01,-96.9247,35.5376,1,True
165,2015-07-13-01,-96.8005,38.5111,1,True
166,2015-07-13-01,-93.9196,45.7326,1,True
167,2015-07-13-01,-93.9196,45.7326,1,True
168,2015-07-13-01,-93.214,42.0046,1,True
169,2015-07-13-01,-92.302,38.4623,1,True
170,2015-07-13-01,-91.8749,31.1801,1,True
171,2015-07-13-01,-89.6385,44.2563,1,True
172,2015-07-13-01,-89.6385,44.2563,1,True
173,2015-07-13-01,-89.6385,44.2563,1,True
174,2015-07-13-01,-89.0022,40.3363,0,True
175,2015-07-13-01,-89.0022,40.3363,1,True
176,2015-07-13-01,-89.0022,40.3363,1,True
177,2015-07-13-01,-89.0022,40.3363,1,True
178,2015-07-13-01,-89.0022,40.3363,1,True
179,2015-07-13-01,-86.2604,39.8647,0,True
180,2015-07-13-01,-84.5603,43.3504,0,True
181,2015-07-13-01,-84.5603,43.3504,0,True
182,2015-07-13-01,-84.5603,43.3504,1,True
183,2015-07-13-01,-83.6487,32.9866,1,True
184,2015-07-13-01,-82.7755,40.3736,1,True
185,2015-07-13-01,-81.717,27.8333,0,True
186,2015-07-13-01,-81.717,27.8333,1,True
187,2015-07-13-01,-81.717,27.8333,1,True
188,2015-07-13-01,-81.717,27.8333,1,True
189,2015-07-13-01,-81.717,27.8333,1,True
190,2015-07-13-01,-80.9066,33.8191,0,True
191,2015-07-13-01,-80.9066,33.8191,1,True
192,2015-07-13-01,-80.9066,33.8191,1,True
193,2015-07-13-01,-80.9066,33.8191,1,True
194,2015-07-13-01,-79.8431,35.6411,0,True
195,2015-07-13-01,-79.8431,35.6411,0,True
196,2015-07-13-01,-79.8431,35.6411,1,True
197,2015-07-13-01,-79.8431,35.6411,1,True
198,2015-07-13-01,-78.2057,37.768,0,True
199,2015-07-13-01,-78.2057,37.768,0,True
200,2015-07-13-01,-78.2057,37.768,0,True
201,2015-07-13-01,-78.2057,37.768,1,True
202,2015-07-13-01,-78.2057,37.768,1,True
203,2015-07-13-01,-77.264,40.5773,0,True
204,2015-07-13-01,-77.264,40.5773,1,True
205,2015-07-13-01,-77.264,40.5773,1,True
206,2015-07-13-01,-77.264,40.5773,1,True
207,2015-07-13-01,-77.264,40.5773,1,True
208,2015-07-13-01,-77.264,40.5773,1,True
209,2015-07-13-01,-76.7902,39.0724,0,True
210,2015-07-13-01,-76.7902,39.0724,1,True
211,2015-07-13-01,-76.7902,39.0724,1,True
212,2015-07-13-01,-76.7902,39.0724,1,True
213,2015-07-13-01,-75.5148,39.3498,1,True
214,2015-07-13-01,-74.9384,42.1497,0,True
215,2015-07-13-01,-74.9384,42.1497,0,True
216,2015-07-13-01,-74.9384,42.1497,0,True
217,2015-07-13-01,-74.9384,42.1497,0,True
218,2015-07-13-01,-74.9384,42.1497,0,True
219,2015-07-13-01,-74.9384,42.1497,0,True
220,2015-07-13-01,-74.9384,42.1497,1,True
221,2015-07-13-01,-74.9384,42.1497,1,True
222,2015-07-13-01,-74.9384,42.1497,1,True
223,2015-07-13-01,-74.9384,42.1497,1,True
224,2015-07-13-01,-74.9384,42.1497,1,True
225,2015-07-13-01,-74.9384,42.1497,1,True
226,2015-07-13-01,-74.9384,42.1497,1,True
227,2015-07-13-01,-74.9384,42.1497,1,True
228,2015-07-13-01,-74.9384,42.1497,1,True
229,2015-07-13-01,-74.9384,42.1497,1,True
230,2015-07-13-01,-74.5089,40.314,0,True
231,2015-07-13-01,-74.5089,40.314,0,True
232,2015-07-13-01,-74.5089,40.314,0,True
233,2015-07-13-01,-74.5089,40.314,0,True
234,2015-07-13-01,-74.5089,40.314,0,True
235,2015-07-13-01,-74.5089,40.314,0,True
236,2015-07-13-01,-74.5089,40.314,0,True
237,2015-07-13-01,-74.5089,40.314,1,True
238,2015-07-13-01,-74.5089,40.314,1,True
239,2015-07-13-01,-74.5089,40.314,1,True
240,2015-07-13-01,-74.5089,40.314,1,True
241,2015-07-13-01,-74.5089,40.314,1,True
242,2015-07-13-01,-72.7622,41.5834,0,True
243,2015-07-13-01,-72.7622,41.5834,0,True
244,2015-07-13-01,-72.7622,41.5834,1,True
245,2015-07-13-01,-72.7622,41.5834,1,True
246,2015-07-13-01,-72.7622,41.5834,1,True
247,2015-07-13-01,-72.7622,41.5834,1,True
248,2015-07-13-01,-71.5653,43.4108,1,True
249,2015-07-13-01,-71.5314,42.2373,0,True
250,2015-07-13-01,-71.5314,42.2373,1,True
251,2015-07-13-01,-71.5314,42.2373,1,True
252,2015-07-13-01,-71.5314,42.2373,1,True
253,2015-07-13-01,-69.3977,44.6074,1,True
254,2015-07-14-01,-122.1269,44.5672,0,True
255,2015-07-14-01,-122.1269,44.5672,1,True
256,2015-07-14-01,-122.1269,44.5672,1,True
257,2015-07-14-01,-121.5708,47.3917,0,True
258,2015-07-14-01,-121.5708,47.3917,0,True
259,2015-07-14-01,-119.7462,36.17,0,True
260,2015-07-14-01,-119.7462,36.17,0,True
261,2015-07-14-01,-119.7462,36.17,0,True
262,2015-07-14-01,-119.7462,36.17,1,True
263,2015-07-14-01,-119.7462,36.17,1,True
264,2015-07-14-01,-119.7462,36.17,1,True
265,2015-07-14-01,-119.7462,36.17,1,True
266,2015-07-14-01,-119.7462,36.17,1,True
267,2015-07-14-01,-119.7462,36.17,1,True
268,2015-07-14-01,-119.7462,36.17,1,True
269,2015-07-14-01,-119.7462,36.17,1,True
270,2015-07-14-01,-119.7462,36.17,1,True
271,2015-07-14-01,-117.1219,38.4199,0,True
272,2015-07-14-01,-117.1219,38.4199,1,True
273,2015-07-14-01,-111.3877,33.7712,0,True
274,2015-07-14-01,-106.2371,34.8375,0,True
275,2015-07-14-01,-105.3272,39.0646,1,True
276,2015-07-14-01,-97.6475,31.105999999999998,1,True
277,2015-07-14-01,-97.6475,31.105999999999998,1,True
278,2015-07-14-01,-96.8005,38.5111,0,True
279,2015-07-14-01,-96.8005,38.5111,1,True
280,2015-07-14-01,-96.8005,38.5111,1,True
281,2015-07-14-01,-93.9196,45.7326,0,True
282,2015-07-14-01,-89.0022,40.3363,0,True
283,2015-07-14-01,-89.0022,40.3363,1,True
284,2015-07-14-01,-89.0022,40.3363,1,True
285,2015-07-14-01,-86.7489,35.7449,1,True
