,year,longitude,latitude,Sentiment,Comment_b
0,2010-09-31,-122.1269,44.5672,0,True
1,2010-09-31,-122.1269,44.5672,1,True
2,2010-09-31,-119.7462,36.17,0,True
3,2010-09-31,-119.7462,36.17,0,True
4,2010-09-31,-119.7462,36.17,1,True
5,2010-09-31,-119.7462,36.17,1,True
6,2010-09-31,-119.7462,36.17,1,True
7,2010-09-31,-117.1219,38.4199,0,True
8,2010-09-31,-111.8535,40.1135,0,True
9,2010-09-31,-110.3261,46.9048,0,True
10,2010-09-31,-105.3272,39.0646,0,True
11,2010-09-31,-105.3272,39.0646,0,True
12,2010-09-31,-105.3272,39.0646,0,True
13,2010-09-31,-97.6475,31.106,0,True
14,2010-09-31,-97.6475,31.106,0,True
15,2010-09-31,-97.6475,31.106,1,True
16,2010-09-31,-96.9247,35.5376,0,True
17,2010-09-31,-92.302,38.4623,0,True
18,2010-09-31,-92.302,38.4623,1,True
19,2010-09-31,-89.6385,44.2563,0,True
20,2010-09-31,-89.6385,44.2563,1,True
21,2010-09-31,-89.0022,40.3363,1,True
22,2010-09-31,-89.0022,40.3363,1,True
23,2010-09-31,-86.8073,32.799,1,True
24,2010-09-31,-86.7489,35.7449,1,True
25,2010-09-31,-84.6514,37.669,0,True
26,2010-09-31,-84.5603,43.3504,0,True
27,2010-09-31,-84.5603,43.3504,0,True
28,2010-09-31,-84.5603,43.3504,0,True
29,2010-09-31,-83.6487,32.9866,0,True
30,2010-09-31,-83.6487,32.9866,1,True
31,2010-09-31,-82.7755,40.3736,1,True
32,2010-09-31,-81.717,27.8333,1,True
33,2010-09-31,-79.8431,35.6411,0,True
34,2010-09-31,-79.8431,35.6411,0,True
35,2010-09-31,-79.8431,35.6411,1,True
36,2010-09-31,-78.2057,37.768,0,True
37,2010-09-31,-78.2057,37.768,0,True
38,2010-09-31,-78.2057,37.768,1,True
39,2010-09-31,-78.2057,37.768,1,True
40,2010-09-31,-77.264,40.5773,0,True
41,2010-09-31,-77.264,40.5773,1,True
42,2010-09-31,-77.264,40.5773,1,True
43,2010-09-31,-76.7902,39.0724,1,True
44,2010-09-31,-74.9384,42.1497,0,True
45,2010-09-31,-74.9384,42.1497,0,True
46,2010-09-31,-74.9384,42.1497,0,True
47,2010-09-31,-74.9384,42.1497,0,True
48,2010-09-31,-74.9384,42.1497,0,True
49,2010-09-31,-74.9384,42.1497,0,True
50,2010-09-31,-74.9384,42.1497,0,True
51,2010-09-31,-74.9384,42.1497,0,True
52,2010-09-31,-74.9384,42.1497,1,True
53,2010-09-31,-74.9384,42.1497,1,True
54,2010-09-31,-74.9384,42.1497,1,True
55,2010-09-31,-74.9384,42.1497,1,True
56,2010-09-31,-74.9384,42.1497,1,True
57,2010-09-31,-74.9384,42.1497,1,True
58,2010-09-31,-74.9384,42.1497,1,True
59,2010-09-31,-74.9384,42.1497,1,True
60,2010-09-31,-74.9384,42.1497,1,True
61,2010-09-31,-74.9384,42.1497,1,True
62,2010-09-31,-74.9384,42.1497,1,True
63,2010-09-31,-74.5089,40.314,0,True
64,2010-09-31,-74.5089,40.314,1,True
65,2010-09-31,-74.5089,40.314,1,True
66,2010-09-31,-72.7622,41.5834,0,True
67,2010-09-31,-72.7622,41.5834,0,True
68,2010-09-31,-72.7622,41.5834,1,True
69,2010-09-31,-72.7622,41.5834,1,True
70,2010-09-31,-72.7622,41.5834,1,True
71,2010-09-31,-72.7093,44.0407,0,True
72,2010-09-31,-72.7093,44.0407,0,True
73,2010-09-31,-72.7093,44.0407,0,True
74,2010-09-31,-72.7093,44.0407,1,True
75,2010-09-31,-72.7093,44.0407,1,True
76,2010-09-31,-72.7093,44.0407,1,True
77,2010-09-31,-72.7093,44.0407,1,True
78,2010-09-31,-72.7093,44.0407,1,True
79,2010-09-31,-72.7093,44.0407,1,True
80,2010-09-31,-71.5314,42.2373,0,True
81,2010-09-31,-71.5314,42.2373,0,True
82,2010-09-31,-71.5314,42.2373,0,True
83,2010-09-31,-71.5314,42.2373,1,True
84,2010-09-31,-71.5314,42.2373,1,True
85,2010-09-31,-71.5314,42.2373,1,True
86,2010-09-31,-69.3977,44.6074,1,True
87,2011-09-31,-121.5708,47.3917,1,True
88,2011-09-31,-119.7462,36.17,0,True
89,2011-09-31,-119.7462,36.17,1,True
90,2011-09-31,-119.7462,36.17,1,True
91,2011-09-31,-106.2371,34.8375,1,True
92,2011-09-31,-89.0022,40.3363,1,True
93,2011-09-31,-86.2604,39.8647,1,True
94,2011-09-31,-83.6487,32.9866,1,True
95,2011-09-31,-82.7755,40.3736,0,True
96,2011-09-31,-81.717,27.8333,1,True
97,2011-09-31,-80.9066,33.8191,1,True
98,2011-09-31,-78.2057,37.768,1,True
99,2011-09-31,-78.2057,37.768,1,True
100,2011-09-31,-76.7902,39.0724,0,True
101,2011-09-31,-76.7902,39.0724,0,True
102,2011-09-31,-74.9384,42.1497,0,True
103,2011-09-31,-74.9384,42.1497,0,True
104,2011-09-31,-74.9384,42.1497,0,True
105,2011-09-31,-74.9384,42.1497,1,True
106,2011-09-31,-74.9384,42.1497,1,True
107,2011-09-31,-74.5089,40.314,0,True
108,2011-09-31,-72.7622,41.5834,0,True
109,2011-09-31,-72.7093,44.0407,0,True
110,2011-09-31,-72.7093,44.0407,1,True
111,2011-09-31,-72.7093,44.0407,1,True
112,2011-09-31,-71.5314,42.2373,1,True
113,2011-09-31,-71.5101,41.6772,1,True
114,2012-09-31,-122.1269,44.5672,1,True
115,2012-09-31,-121.5708,47.3917,1,True
